anahtar,adet,ornek_yazim,ilk_yer
"اتحاجوننا",1,"اَتُحَٓاجُّونَنَا","2:139:2"
"ولنا",1,"وَلَنَٓا","2:139:8"
"مخلصون",1,"مُخْلِصُونَۙ","2:139:14"
"كتم",1,"كَتَمَ","2:140:21"
"وسطا",1,"وَسَطًا","2:143:4"
"لقبلة",1,"الْقِبْلَةَ","2:143:15"
"ليضيع",1,"لِيُضٖيعَ","2:143:39"
"فلنولينك",1,"فَلَنُوَلِّيَنَّكَ","2:144:7"
"ترضيها",1,"تَرْضٰيهَاࣕ","2:144:9"
"ليعلمون",1,"لَيَعْلَمُونَ","2:144:25"
"تبعوا",1,"تَبِعُوا","2:145:9"
"قبلتك",1,"قِبْلَتَكَۚ","2:145:10"
"ليكتمون",1,"لَيَكْتُمُونَ","2:146:11"
"وجهة",1,"وِجْهَةٌ","2:148:2"
"موليها",1,"مُوَلّٖيهَا","2:148:4"
"واخشونى",1,"وَاخْشَوْنٖي","2:150:26"
"ولاتم",1,"وَلِاُتِمَّ","2:150:27"
"ويزكيكم",1,"وَيُزَكّٖيكُمْ","2:151:9"
"فاذكرونى",1,"فَاذْكُرُونٖٓي","2:152:1"
"اذكركم",1,"اَذْكُرْكُمْ","2:152:2"
"والجوع",1,"وَالْجُوعِ","2:155:5"
"والانفس",1,"وَالْاَنْفُسِ","2:155:9"
"والثمرات",1,"وَالثَّمَرَاتِؕ","2:155:10"
"صلوات",1,"صَلَوَاتٌ","2:157:3"
"لصفا",1,"الصَّفَا","2:158:2"
"والمروة",1,"وَالْمَرْوَةَ","2:158:3"
"اعتمر",1,"اعْتَمَرَ","2:158:11"
"شاكر",1,"شَاكِرٌ","2:158:23"
"يلعنهم",1,"يَلْعَنُهُمُ","2:159:17"
"ويلعنهم",1,"وَيَلْعَنُهُمُ","2:159:19"
"للاعنون",1,"اللَّاعِنُونَۙ","2:159:20"
"وبينوا",1,"وَبَيَّنُوا","2:160:5"
"اتوب",1,"اَتُوبُ","2:160:7"
"والسحاب",1,"وَالسَّحَابِ","2:164:36"
"لمسخر",1,"الْمُسَخَّرِ","2:164:37"
"يحبونهم",1,"يُحِبُّونَهُمْ","2:165:9"
"كحب",1,"كَحُبِّ","2:165:10"
"وتقطعت",1,"وَتَقَطَّعَتْ","2:166:10"
"فنتبرا",1,"فَنَتَبَرَّاَ","2:167:8"
"تبرؤ࣒ا",1,"تَبَرَّؤُ࣒ا","2:167:11"
"يريهم",1,"يُرٖيهِمُ","2:167:14"
"لفينا",1,"اَلْفَيْنَا","2:170:12"
"ينعق",1,"يَنْعِقُ","2:171:6"
"ونداء",1,"وَنِدَٓاءًؕ","2:171:12"
"ويشترون",1,"وَيَشْتَرُونَ","2:174:9"
"بالمغفرة",1,"بِالْمَغْفِرَةِۚ","2:175:7"
"اصبرهم",1,"اَصْبَرَهُمْ","2:175:9"
"والسائلين",1,"وَالسَّٓائِلٖينَ","2:177:29"
"والموفون",1,"وَالْمُوفُونَ","2:177:36"
"بعهدهم",1,"بِعَهْدِهِمْ","2:177:37"
"لقتلى",1,"الْقَتْلٰىؕ","2:178:8"
"بالحر",1,"بِالْحُرِّ","2:178:10"
"والعبد",1,"وَالْعَبْدُ","2:178:11"
"عفى",1,"عُفِيَ","2:178:16"
"واداء",1,"وَاَدَٓاءٌ","2:178:23"
"تخفيف",1,"تَخْفٖيفٌ","2:178:27"
"للوالدين",1,"لِلْوَالِدَيْنِ","2:180:11"
"اثمه",1,"اِثْمُهُ","2:181:7"
"يبدلونه",1,"يُبَدِّلُونَهُؕ","2:181:10"
"موص",1,"مُوصٍ","2:182:4"
"جنفا",1,"جَنَفًا","2:182:5"
"فاصلح",1,"فَاَصْلَحَ","2:182:8"
"يطيقونه",1,"يُطٖيقُونَهُ","2:184:16"
"تصوموا",1,"تَصُومُوا","2:184:27"
"رمضان",1,"رَمَضَانَ","2:185:2"
"وبينات",1,"وَبَيِّنَاتٍ","2:185:9"
"فليصمه",1,"فَلْيَصُمْهُؕ","2:185:17"
"ليسر",1,"الْيُسْرَ","2:185:31"
"ولتكملوا",1,"وَلِتُكْمِلُوا","2:185:36"
"ولتكبروا",1,"وَلِتُكَبِّرُوا","2:185:38"
"سالك",1,"سَاَلَكَ","2:186:2"
"اجيب",1,"اُجٖيبُ","2:186:7"
"وليؤمنوا",1,"وَلْيُؤْمِنُوا","2:186:14"
"يرشدون",1,"يَرْشُدُونَ","2:186:17"
"لرفث",1,"الرَّفَثُ","2:187:5"
"تختانون",1,"تَخْتَانُونَ","2:187:18"
"وعفا",1,"وَعَفَا","2:187:22"
"فالن",1,"فَالْــٰٔنَ","2:187:24"
"باشروهن",1,"بَاشِرُوهُنَّ","2:187:25"
"لابيض",1,"الْاَبْيَضُ","2:187:37"
"لاسود",1,"الْاَسْوَدِ","2:187:40"
"اتموا",1,"اَتِمُّوا","2:187:44"
"تباشروهن",1,"تُبَاشِرُوهُنَّ","2:187:49"
"تقربوها",1,"تَقْرَبُوهَاؕ","2:187:58"
"وتدلوا",1,"وَتُدْلُوا","2:188:6"
"لاهلة",1,"الْاَهِلَّةِؕ","2:189:3"
"مواقيت",1,"مَوَاقٖيتُ","2:189:6"
"والحج",1,"وَالْحَجِّؕ","2:189:8"
"تاتوا",1,"تَاْتُوا","2:189:12"
"واخرجوهم",1,"وَاَخْرِجُوهُمْ","2:191:4"
"اخرجوكم",1,"اَخْرَجُوكُمْ","2:191:7"
"فاقتلوهم",1,"فَاقْتُلُوهُمْؕ","2:191:22"
"بالشهر",1,"بِالشَّهْرِ","2:194:3"
"والحرمات",1,"وَالْحُرُمَاتُ","2:194:5"
"فاعتدوا",1,"فَاعْتَدُوا","2:194:10"
"تلقوا",1,"تُلْقُوا","2:195:6"
"لتهلكة",1,"التَّهْلُكَةِۚۛ","2:195:9"
"واتموا",1,"وَاَتِمُّوا","2:196:1"
"والعمرة",1,"وَالْعُمْرَةَ","2:196:3"
"احصرتم",1,"اُحْصِرْتُمْ","2:196:6"
"تحلقوا",1,"تَحْلِقُوا","2:196:12"
"ففدية",1,"فَفِدْيَةٌ","2:196:27"
"صيام",1,"صِيَامٍ","2:196:29"
"نسك",1,"نُسُكٍۚ","2:196:33"
"بالعمرة",1,"بِالْعُمْرَةِ","2:196:38"
"وسبعة",1,"وَسَبْعَةٍ","2:196:53"
"حاضرى",1,"حَاضِرِي","2:196:64"
"رفث",1,"رَفَثَ","2:197:9"
"جدال",1,"جِدَالَ","2:197:13"
"وتزودوا",1,"وَتَزَوَّدُوا","2:197:22"
"لزاد",1,"الزَّادِ","2:197:25"
"واتقون",1,"وَاتَّقُونِ","2:197:27"
"عرفات",1,"عَرَفَاتٍ","2:198:12"
"لمشعر",1,"الْمَشْعَرِ","2:198:16"
"واذكروه",1,"وَاذْكُرُوهُ","2:198:18"
"افاض",1,"اَفَاضَ","2:199:5"
"مناسككم",1,"مَنَاسِكَكُمْ","2:200:3"
"كذكركم",1,"كَذِكْرِكُمْ","2:200:6"
"يعجبك",1,"يُعْجِبُكَ","2:204:4"
"ويشهد",1,"وَيُشْهِدُ","2:204:9"
"ليفسد",1,"لِيُفْسِدَ","2:205:6"
"ويهلك",1,"وَيُهْلِكَ","2:205:8"
"والنسل",1,"وَالنَّسْلَؕ","2:205:10"
"فحسبه",1,"فَحَسْبُهُ","2:206:9"
"يشرى",1,"يَشْرٖي","2:207:4"
"زللتم",1,"زَلَلْتُمْ","2:209:2"
"او࣒توه",1,"اُو࣒تُوهُ","2:213:25"
"فللوالدين",1,"فَلِلْوَالِدَيْنِ","2:215:9"
"تحبوا",1,"تُحِبُّوا","2:216:16"
"يرتدد",1,"يَرْتَدِدْ","2:217:39"
"فيمت",1,"فَيَمُتْ","2:217:43"
"واثمهما",1,"وَاِثْمُهُمَٓا","2:219:11"
"نفعهما",1,"نَفْعِهِمَاؕ","2:219:14"
"تخالطوهم",1,"تُخَالِطُوهُمْ","2:220:12"
"لمفسد",1,"الْمُفْسِدَ","2:220:16"
"لمصلح",1,"الْمُصْلِـحِؕ","2:220:18"
"لاعنتكم",1,"لَاَعْنَتَكُمْؕ","2:220:22"
"لمشركات",1,"الْمُشْرِكَاتِ","2:221:3"
"ولامة",1,"وَلَاَمَةٌ","2:221:6"
"ولعبد",1,"وَلَعَبْدٌ","2:221:18"
"اعجبكم",1,"اَعْجَبَكُمْؕ","2:221:24"
"والمغفرة",1,"وَالْمَغْفِرَةِ","2:221:33"
"فاعتزلوا",1,"فَاعْتَزِلُوا","2:222:7"
"تقربوهن",1,"تَقْرَبُوهُنَّ","2:222:12"
"يطهرن",1,"يَطْهُرْنَۚ","2:222:14"
"تطهرن",1,"تَطَهَّرْنَ","2:222:16"
"لتوابين",1,"التَّوَّابٖينَ","2:222:25"
"ويحب",1,"وَيُحِبُّ","2:222:26"
"لمتطهرين",1,"الْمُتَطَهِّرٖينَ","2:222:27"
"نساؤكم",1,"نِسَٓاؤُ࣑كُمْ","2:223:1"
"وقدموا",1,"وَقَدِّمُوا","2:223:8"
"ملاقوه",1,"مُلَاقُوهُؕ","2:223:14"
"عرضة",1,"عُرْضَةً","2:224:4"
"لايمانكم",1,"لِاَيْمَانِكُمْ","2:224:5"
"تبروا",1,"تَبَرُّوا","2:224:7"
"وتصلحوا",1,"وَتُصْلِحُوا","2:224:9"
"يؤلون",1,"يُؤْلُونَ","2:226:2"
"تربص",1,"تَرَبُّصُ","2:226:5"
"فاؤ࣒",1,"فَٓاؤُ࣒","2:226:9"
"عزموا",1,"عَزَمُوا","2:227:2"
"والمطلقات",1,"وَالْمُطَلَّقَاتُ","2:228:1"
"قروء",1,"قُرُٓوءٍؕ","2:228:5"
"يكتمن",1,"يَكْتُمْنَ","2:228:10"
"ارحامهن",1,"اَرْحَامِهِنَّ","2:228:15"
"وبعولتهن",1,"وَبُعُولَتُهُنَّ","2:228:22"
"بردهن",1,"بِرَدِّهِنَّ","2:228:24"
"وللرجال",1,"وَلِلرِّجَالِ","2:228:35"
"مرتان",1,"مَرَّتَانِࣕ","2:229:2"
"فامساك",1,"فَاِمْسَاكٌ","2:229:3"
"تسريح",1,"تَسْرٖيحٌ","2:229:6"
"افتدت",1,"افْتَدَتْ","2:229:33"
"تعتدوها",1,"تَعْتَدُوهَاۚ","2:229:39"
"تنكح",1,"تَنْكِحَ","2:230:9"
"يتراجعا",1,"يَتَرَاجَعَٓا","2:230:18"
"يبينها",1,"يُبَيِّنُهَا","2:230:28"
"سرحوهن",1,"سَرِّحُوهُنَّ","2:231:9"
"تمسكوهن",1,"تُمْسِكُوهُنَّ","2:231:12"
"لتعتدوا",1,"لِتَعْتَدُواۚ","2:231:14"
"ينكحن",1,"يَنْكِحْنَ","2:232:9"
"ازواجهن",1,"اَزْوَاجَهُنَّ","2:232:10"
"تراضوا",1,"تَرَاضَوْا","2:232:12"
"والوالدات",1,"وَالْوَالِدَاتُ","2:233:1"
"يرضعن",1,"يُرْضِعْنَ","2:233:2"
"حولين",1,"حَوْلَيْنِ","2:233:4"
"كاملين",1,"كَامِلَيْنِ","2:233:5"
"لمولود",1,"الْمَوْلُودِ","2:233:12"
"رزقهن",1,"رِزْقُهُنَّ","2:233:14"
"وكسوتهن",1,"وَكِسْوَتُهُنَّ","2:233:15"
"تضار",1,"تُضَٓارَّ","2:233:23"
"والدة",1,"وَالِدَةٌ","2:233:24"
"بولدها",1,"بِوَلَدِهَا","2:233:25"
"بولده",1,"بِوَلَدِهٖ","2:233:29"
"لوارث",1,"الْوَارِثِ","2:233:31"
"وتشاور",1,"وَتَشَاوُرٍ","2:233:40"
"تسترضعوا",1,"تَسْتَرْضِعُٓوا","2:233:47"
"سلمتم",1,"سَلَّمْتُمْ","2:233:53"
"وعشرا",1,"وَعَشْرًاۚ","2:234:10"
"عرضتم",1,"عَرَّضْتُمْ","2:235:5"
"خطبة",1,"خِطْبَةِ","2:235:8"
"اكننتم",1,"اَكْنَنْتُمْ","2:235:11"
"ستذكرونهن",1,"سَتَذْكُرُونَهُنَّ","2:235:17"
"تواعدوهن",1,"تُوَاعِدُوهُنَّ","2:235:20"
"تعزموا",1,"تَعْزِمُوا","2:235:28"
"فاحذروه",1,"فَاحْذَرُوهُۚ","2:235:42"
"تفرضوا",1,"تَفْرِضُوا","2:236:11"
"ومتعوهن",1,"وَمَتِّعُوهُنَّۚ","2:236:14"
"لموسع",1,"الْمُوسِعِ","2:236:16"
"لمقتر",1,"الْمُقْتِرِ","2:236:19"
"فنصف",1,"فَنِصْفُ","2:237:11"
"يعفون",1,"يَعْفُونَ","2:237:16"
"يعفوا",1,"يَعْفُوَا","2:237:18"
"تنسوا",1,"تَنْسَوُا","2:237:28"
"حافظوا",1,"حَافِظُوا","2:238:1"
"لصلوات",1,"الصَّلَوَاتِ","2:238:3"
"لوسطى",1,"الْوُسْطٰى","2:238:5"
"وقوموا",1,"وَقُومُوا","2:238:6"
"قانتين",1,"قَانِتٖينَ","2:238:8"
"فرجالا",1,"فَرِجَالًا","2:239:3"
"ركبانا",1,"رُكْبَانًاۚ","2:239:5"
"لازواجهم",1,"لِاَزْوَاجِهِمْ","2:240:7"
"لحول",1,"الْحَوْلِ","2:240:10"
"اخراج",1,"اِخْرَاجٍۚ","2:240:12"
"خرجن",1,"خَرَجْنَ","2:240:14"
"وللمطلقات",1,"وَلِلْمُطَلَّقَاتِ","2:241:1"
"لوف",1,"اُلُوفٌ","2:243:9"
"احياهم",1,"اَحْيَاهُمْؕ","2:243:17"
"يقبض",1,"يَقْبِضُ","2:245:13"
"ويبصط",1,"وَيَبْصُۣطُࣕ","2:245:14"
"ديارنا",1,"دِيَارِنَا","2:246:42"
"وابنائنا",1,"وَاَبْنَٓائِنَاؕ","2:246:43"
"بالملك",1,"بِالْمُلْكِ","2:247:19"
"اصطفيه",1,"اصْطَفٰيهُ","2:247:29"
"وزاده",1,"وَزَادَهُ","2:247:31"
"بسطة",1,"بَسْطَةً","2:247:32"
"والجسم",1,"وَالْجِسْمِؕ","2:247:35"
"سكينة",1,"سَكٖينَةٌ","2:248:11"
"وبقية",1,"وَبَقِيَّةٌ","2:248:14"
"بالجنود",1,"بِالْجُنُودِۙ","2:249:4"
"مبتليكم",1,"مُبْتَلٖيكُمْ","2:249:8"
"بنهر",1,"بِنَهَرٍۚ","2:249:9"
"اغترف",1,"اغْتَرَفَ","2:249:22"
"غرفة",1,"غُرْفَةً","2:249:23"
"فشربوا",1,"فَشَرِبُوا","2:249:25"
"جاوزه",1,"جَاوَزَهُ","2:249:31"
"بجالوت",1,"بِجَالُوتَ","2:249:41"
"قليلة",1,"قَلٖيلَةٍ","2:249:52"
"لجالوت",1,"لِجَالُوتَ","2:250:3"
"فهزموهم",1,"فَهَزَمُوهُمْ","2:251:1"
"جالوت",1,"جَالُوتَ","2:251:6"
"واتيه",1,"وَاٰتٰيهُ","2:251:7"
"وعلمه",1,"وَعَلَّمَهُ","2:251:11"
"اقتتل",1,"اقْتَتَلَ","2:253:26"
"خلة",1,"خُلَّةٌ","2:254:16"
"تاخذه",1,"تَاْخُذُهُ","2:255:9"
"نوم",1,"نَوْمٌؕ","2:255:12"
"يؤ࣒ده",1,"يَؤُ࣒دُهُ","2:255:46"
"حفظهما",1,"حِفْظُهُمَاۚ","2:255:47"
"اكراه",1,"اِكْرَاهَ","2:256:2"
"بالطاغوت",1,"بِالطَّاغُوتِ","2:256:12"
"انفصام",1,"انْفِصَامَ","2:256:20"
"يخرجهم",1,"يُخْرِجُهُمْ","2:257:5"
"يخرجونهم",1,"يُخْرِجُونَهُمْ","2:257:14"
"حاج",1,"حَٓاجَّ","2:258:5"
"احى",1,"اُحْيٖ","2:258:22"
"واميت",1,"وَاُمٖيتُؕ","2:258:23"
"بالشمس",1,"بِالشَّمْسِ","2:258:29"
"لمغرب",1,"الْمَغْرِبِ","2:258:35"
"فبهت",1,"فَبُهِتَ","2:258:36"
"فاماته",1,"فَاَمَاتَهُ","2:259:17"
"بعثه",1,"بَعَثَهُؕ","2:259:22"
"طعامك",1,"طَعَامِكَ","2:259:39"
"وشرابك",1,"وَشَرَابِكَ","2:259:40"
"يتسنه",1,"يَتَسَنَّهْۚ","2:259:42"
"حمارك",1,"حِمَارِكَ","2:259:45"
"ولنجعلك",1,"وَلِنَجْعَلَكَ","2:259:46"
"ننشزها",1,"نُنْشِزُهَا","2:259:53"
"نكسوها",1,"نَكْسُوهَا","2:259:55"
"تحى",1,"تُحْيِ","2:260:7"
"ليطمئن",1,"لِيَطْمَئِنَّ","2:260:15"
"قلبى",1,"قَلْبٖيؕ","2:260:16"
"فصرهن",1,"فَصُرْهُنَّ","2:260:22"
"ادعهن",1,"ادْعُهُنَّ","2:260:32"
"ياتينك",1,"يَاْتٖينَكَ","2:260:33"
"سعيا",1,"سَعْيًاؕ","2:260:34"
"انبتت",1,"اَنْبَتَتْ","2:261:10"
"سنابل",1,"سَنَابِلَ","2:261:12"
"سنبلة",1,"سُنْبُلَةٍ","2:261:15"
"يتبعها",1,"يَتْبَعُهَٓا","2:263:7"
"صدقاتكم",1,"صَدَقَاتِكُمْ","2:264:6"
"بالمن",1,"بِالْمَنِّ","2:264:7"
"والاذى",1,"وَالْاَذٰىۙ","2:264:8"
"صفوان",1,"صَفْوَانٍ","2:264:21"
"فاصابه",1,"فَاَصَابَهُ","2:264:24"
"فتركه",1,"فَتَرَكَهُ","2:264:26"
"صلدا",1,"صَلْدًاؕ","2:264:27"
"وتثبيتا",1,"وَتَثْبٖيتًا","2:265:8"
"بربوة",1,"بِرَبْوَةٍ","2:265:13"
"اصابها",1,"اَصَابَهَا","2:265:14"
"يصبها",1,"يُصِبْهَا","2:265:21"
"ايود",1,"اَيَوَدُّ","2:266:1"
"واصابه",1,"وَاَصَابَهُ","2:266:19"
"ضعفاء",1,"ضُعَفَٓاءُࣕ","2:266:23"
"فاصابها",1,"فَاَصَابَهَٓا","2:266:24"
"فاحترقت",1,"فَاحْتَرَقَتْؕ","2:266:28"
"تيمموا",1,"تَيَمَّمُوا","2:267:15"
"ولستم",1,"وَلَسْتُمْ","2:267:19"
"باخذيه",1,"بِاٰخِذٖيهِ","2:267:20"
"تغمضوا",1,"تُغْمِضُوا","2:267:23"
"لفقر",1,"الْفَقْرَ","2:268:3"
"ويامركم",1,"وَيَاْمُرُكُمْ","2:268:4"
"وفضلا",1,"وَفَضْلًاؕ","2:268:10"
"نذرتم",1,"نَذَرْتُمْ","2:270:6"
"تخفوها",1,"تُخْفُوهَا","2:271:7"
"وتؤتوها",1,"وَتُؤْتُوهَا","2:271:8"
"فلانفسكم",1,"فَلِاَنْفُسِكُمْؕ","2:272:13"
"احصروا",1,"اُحْصِرُوا","2:273:3"
"يحسبهم",1,"يَحْسَبُهُمُ","2:273:12"
"لجاهل",1,"الْجَاهِلُ","2:273:13"
"لتعفف",1,"التَّعَفُّفِۚ","2:273:16"
"تعرفهم",1,"تَعْرِفُهُمْ","2:273:17"
"لحافا",1,"اِلْحَافًاؕ","2:273:22"
"يقومون",1,"يَقُومُونَ","2:275:5"
"يتخبطه",1,"يَتَخَبَّطُهُ","2:275:10"
"لمس",1,"الْمَسِّؕ","2:275:13"
"فانتهى",1,"فَانْتَهٰى","2:275:31"
"وامره",1,"وَاَمْرُهُٓ","2:275:35"
"يمحق",1,"يَمْحَقُ","2:276:1"
"ويربى",1,"وَيُرْبِي","2:276:4"
"بقى",1,"بَقِيَ","2:278:8"
"فاذنوا",1,"فَاْذَنُوا","2:279:4"
"بحرب",1,"بِحَرْبٍ","2:279:5"
"ذوعسرة",1,"ذُوعُسْرَةٍ","2:280:3"
"عسرة",1,"عُسۡرَةٖ","2:280:4"
"ميسرة",1,"مَيْسَرَةٍؕ","2:280:7"
"تصدقوا",1,"تَصَدَّقُوا","2:280:9"
"تداينتم",1,"تَدَايَنْتُمْ","2:282:5"
"بدين",1,"بِدَيْنٍ","2:282:6"
"فاكتبوه",1,"فَاكْتُبُوهُؕ","2:282:10"
"وليكتب",1,"وَلْيَكْتُبْ","2:282:11"
"فليكتب",1,"فَلْيَكْتُبْۚ","2:282:23"
"وليملل",1,"وَلْيُمْلِلِ","2:282:24"
"يبخس",1,"يَبْخَسْ","2:282:32"
"سفيها",1,"سَفٖيهًا","2:282:40"
"يمل",1,"يُمِلَّ","2:282:47"
"فليملل",1,"فَلْيُمْلِلْ","2:282:49"
"واستشهدوا",1,"وَاسْتَشْهِدُوا","2:282:52"
"شهيدين",1,"شَهٖيدَيْنِ","2:282:53"
"فرجل",1,"فَرَجُلٌ","2:282:60"
"وامراتان",1,"وَامْرَاَتَانِ","2:282:61"
"ترضون",1,"تَرْضَوْنَ","2:282:63"
"فتذكر",1,"فَتُذَكِّرَ","2:282:69"
"تسموا",1,"تَسْـَٔمُٓوا","2:282:79"
"تكتبوه",1,"تَكْتُبُوهُ","2:282:81"
"للشهادة",1,"لِلشَّهَادَةِ","2:282:92"
"وادنى",1,"وَاَدْنٰٓى","2:282:93"
"ترتابوا",1,"تَرْتَابُٓوا","2:282:95"
"تديرونها",1,"تُدٖيرُونَهَا","2:282:101"
"تكتبوها",1,"تَكْتُبُوهَاؕ","2:282:107"
"تبايعتم",1,"تَبَايَعْتُمْࣕ","2:282:110"
"يضار",1,"يُضَٓارَّ","2:282:112"
"كاتبا",1,"كَاتِبًا","2:283:7"
"فرهان",1,"فَرِهَانٌ","2:283:8"
"مقبوضة",1,"مَقْبُوضَةٌؕ","2:283:9"
"فليؤد",1,"فَلْيُؤَدِّ","2:283:14"
"اؤتمن",1,"اؤْتُمِنَ","2:283:16"
"امانته",1,"اَمَانَتَهُ","2:283:17"
"تكتموا",1,"تَكْتُمُوا","2:283:22"
"يكتمها",1,"يَكْتُمْهَا","2:283:25"
"يحاسبكم",1,"يُحَاسِبْكُمْ","2:284:15"
"فيغفر",1,"فَيَغْفِرُ","2:284:18"
"غفرانك",1,"غُفْرَانَكَ","2:285:24"
"اكتسبت",1,"اكْتَسَبَتْؕ","2:286:12"
"تؤاخذنا",1,"تُؤَاخِذْنَٓا","2:286:15"
"نسينا",1,"نَسٖينَٓا","2:286:17"
"اخطانا",1,"اَخْطَاْنَاۚ","2:286:19"
"اصرا",1,"اِصْرًا","2:286:24"
"تحملنا",1,"تُحَمِّلْنَا","2:286:33"
"واعف",1,"وَاعْفُ","2:286:39"
"فانصرنا",1,"فَانْصُرْنَا","2:286:46"
"تقية",1,"تُقٰيةًؕ","3:28:21"
"اصطفيك",1,"اصْطَفٰيكِ","3:42:8"
"واصطفيك",1,"وَاصْطَفٰيكِ","3:42:10"
"نساءالعالمين",1,"نِسَٓاءِالْعَالَمٖينَ","3:42:12"
"معالراكعين",1,"مَعَالرَّاكِعٖينَ","3:43:7"
"ومنالمقربين",1,"وَمِنَالْمُقَرَّبٖينَۙ","3:45:20"
"احس",1,"اَحَسَّ","3:52:2"
"واتبعنا",1,"وَاتَّبَعْنَا","3:53:5"
"متوفيك",1,"مُتَوَفّٖيكَ","3:55:7"
"ورافعك",1,"وَرَافِعُكَ","3:55:8"
"ومطهرك",1,"وَمُطَهِّرُكَ","3:55:10"
"وجاعل",1,"وَجَاعِلُ","3:55:14"
"اتبعوك",1,"اتَّبَعُوكَ","3:55:16"
"فيهتختلفون",1,"فٖيهِتَخْتَلِفُونَ","3:55:30"
"فاعذبهم",1,"فَاُعَذِّبُهُمْ","3:56:4"
"حاجك",1,"حَٓاجَّكَ","3:61:2"
"ندع",1,"نَدْعُ","3:61:12"
"ابناءنا",1,"اَبْنَٓاءَنَا","3:61:13"
"وابناءكم",1,"وَاَبْنَٓاءَكُمْ","3:61:14"
"ونساءنا",1,"وَنِسَٓاءَنَا","3:61:15"
"ونساءكم",1,"وَنِسَٓاءَكُمْ","3:61:16"
"وانفسنا",1,"وَاَنْفُسَنَا","3:61:17"
"نبتهل",1,"نَبْتَهِلْ","3:61:20"
"فنجعل",1,"فَنَجْعَلْ","3:61:21"
"حاججتم",1,"حَاجَجْتُمْ","3:66:3"
"يهوديا",1,"يَهُودِيًّا","3:67:4"
"نصرانيا",1,"نَصْرَانِيًّا","3:67:6"
"بابرهيم",1,"بِاِبْرٰهٖيمَ","3:68:4"
"ودت",1,"وَدَّتْ","3:69:1"
"يضلونكم",1,"يُضِلُّونَكُمْؕ","3:69:7"
"تلبسون",1,"تَلْبِسُونَ","3:71:4"
"وتكتمون",1,"وَتَكْتُمُونَ","3:71:7"
"واكفروا",1,"وَاكْفُرُٓوا","3:72:14"
"اخره",1,"اٰخِرَهُ","3:72:15"
"يحاجوكم",1,"يُحَٓاجُّوكُمْ","3:73:19"
"بقنطار",1,"بِقِنْطَارٍ","3:75:7"
"بدينار",1,"بِدٖينَارٍ","3:75:14"
"وايمانهم",1,"وَاَيْمَانِهِمْ","3:77:6"
"لفريقا",1,"لَفَرٖيقًا","3:78:3"
"يلو࣒ن",1,"يَلْوُ࣒نَ","3:78:4"
"لتحسبوه",1,"لِتَحْسَبُوهُ","3:78:7"
"ربانين",1,"رَبَّانِيّٖنَ","3:79:21"
"ايامركم",1,"اَيَاْمُرُكُمْ","3:80:8"
"اتيتكم",1,"اٰتَيْتُكُمْ","3:81:7"
"وحكمة",1,"وَحِكْمَةٍ","3:81:10"
"لتؤمنن",1,"لَتُؤْمِنُنَّ","3:81:17"
"ولتنصرنه",1,"وَلَتَنْصُرُنَّهُؕ","3:81:19"
"ءاقررتم",1,"ءَاَقْرَرْتُمْ","3:81:21"
"واخذتم",1,"وَاَخَذْتُمْ","3:81:22"
"اصرى",1,"اِصْرٖيؕ","3:81:25"
"اقررنا",1,"اَقْرَرْنَاؕ","3:81:27"
"والنبيون",1,"وَالنَّبِيُّونَ","3:84:19"
"يبتغ",1,"يَبْتَغِ","3:85:2"
"توبتهم",1,"تَوْبَتُهُمْۚ","3:90:11"
"ملء",1,"مِلْءُ","3:91:11"
"ذهبا",1,"ذَهَبًا","3:91:13"
"افتدى",1,"افْتَدٰى","3:91:15"
"تنالوا",1,"تَنَالُوا","3:92:2"
"بالتورية",1,"بِالتَّوْرٰيةِ","3:93:20"
"فاتلوها",1,"فَاتْلُوهَٓا","3:93:21"
"وضع",1,"وُضِعَ","3:96:4"
"ببكة",1,"بِبَكَّةَ","3:96:7"
"دخله",1,"دَخَلَهُ","3:97:7"
"استطاع",1,"اسْتَطَاعَ","3:97:16"
"تبغونها",1,"تَبْغُونَهَا","3:99:11"
"يعتصم",1,"يَعْتَصِمْ","3:101:11"
"تقاته",1,"تُقَاتِهٖ","3:102:7"
"فالف",1,"فَاَلَّفَ","3:103:14"
"بنعمته",1,"بِنِعْمَتِهٖٓ","3:103:18"
"حفرة",1,"حُفْرَةٍ","3:103:23"
"فانقذكم",1,"فَاَنْقَذَكُمْ","3:103:26"
"ولتكن",1,"وَلْتَكُنْ","3:104:1"
"واختلفوا",1,"وَاخْتَلَفُوا","3:105:5"
"تبيض",1,"تَبْيَضُّ","3:106:2"
"وتسود",1,"وَتَسْوَدُّ","3:106:4"
"اسودت",1,"اسْوَدَّتْ","3:106:8"
"اكفرتم",1,"اَكَفَرْتُمْ","3:106:10"
"ابيضت",1,"ابْيَضَّتْ","3:107:3"
"اخرجت",1,"اُخْرِجَتْ","3:110:4"
"وتنهون",1,"وَتَنْهَوْنَ","3:110:8"
"يضروكم",1,"يَضُرُّوكُمْ","3:111:2"
"يولوكم",1,"يُوَلُّوكُمُ","3:111:7"
"ضربت",1,"ضُرِبَتْ","3:112:1"
"وحبل",1,"وَحَبْلٍ","3:112:11"
"لمسكنة",1,"الْمَسْكَنَةُؕ","3:112:20"
"ويسارعون",1,"وَيُسَارِعُونَ","3:114:10"
"يكفروه",1,"يُكْفَرُوهُؕ","3:115:6"
"صر",1,"صِرٌّ","3:117:11"
